timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.817626953125,0.197998046875,-0.53778076171875,-0.05419921875,0.65655517578125,0.52349853515625,0.353271484375,0.41229248046875,0.99847412109375,-0.0191650390625,0.0501708984375,-0.011474609375,0.96832275390625,-0.22637939453125,-0.04168701171875,0.09649658203125,0.872802734375,-0.424072265625,-0.2071533203125,0.12396240234375,0.71649169921875,-0.62744140625,-0.2449951171875,0.18121337890625
1,0.817626953125,0.197998046875,-0.53778076171875,-0.05419921875,0.65655517578125,0.52349853515625,0.353271484375,0.41229248046875,0.99847412109375,-0.020120371942934784,0.04969323199728261,-0.011527683423913044,0.9680573836616848,-0.22754702360733695,-0.041899307914402176,0.09644350798233696,0.872802734375,-0.424072265625,-0.2071533203125,0.12396240234375,0.71649169921875,-0.62744140625,-0.2449951171875,0.18121337890625
2,0.8173562754755435,0.19714090098505435,-0.5385025687839674,-0.05451500934103261,0.6566454016644022,0.52349853515625,0.35300080672554346,0.41238270635190216,0.998429008152174,-0.01949675186820652,0.05047872792119565,-0.011806322180706522,0.967972465183424,-0.22803795855978262,-0.041028893512228264,0.09634532099184782,0.8728929602581522,-0.42447828209918476,-0.20620594853940216,0.12369172469429347,0.71649169921875,-0.6275316321331522,-0.24481466542119565,0.18116826596467392
3,0.8172607421875,0.19683837890625,-0.53875732421875,-0.05462646484375,0.6571602199388586,0.5224954356317935,0.35294242527173914,0.41286037279211957,0.9984130859375,-0.02022917374320652,0.050446883491847824,-0.011530337126358696,0.96795654296875,-0.2281494140625,-0.04071044921875,0.0963134765625,0.872330375339674,-0.42555037788722827,-0.20605734120244565,0.12404201341711957,0.71649169921875,-0.6275634765625,-0.2447509765625,0.18115234375
4,0.8172023607336957,0.19610861073369565,-0.539078422214674,-0.05488918138586957,0.6570620329483695,0.5225511633831522,0.352791164232337,0.4130302097486413,0.9984130859375,-0.020173445991847828,0.05064060377038043,-0.011495838994565218,0.9678981615149457,-0.22849970278532608,-0.03977634595788043,0.09637185801630435,0.8723569123641305,-0.4255344556725543,-0.20582646908967392,0.12415346891983696,0.7162873641304348,-0.6277678116508152,-0.24457583220108695,0.18156101392663043
5,0.817138671875,0.1953125,-0.5394287109375,-0.05517578125,0.6569771144701086,0.5228271484375,0.3527062457540761,0.41288160241168476,0.9983918563179348,-0.02006729789402174,0.05112888502038043,-0.011697520380434782,0.96783447265625,-0.2288818359375,-0.03875732421875,0.096435546875,0.8725904381793478,-0.42550261124320654,-0.20497728430706522,0.12406855044157608,0.716064453125,-0.62799072265625,-0.244384765625,0.1820068359375
6,0.8171519403872283,0.1949807871942935,-0.5394950534986414,-0.055388077445652176,0.6574282438858695,0.522216796875,0.3527991253396739,0.4129081394361413,0.9983387822690217,-0.021142047384510868,0.051500403362771736,-0.011763862941576086,0.9679008152173914,-0.22878895635190216,-0.03827965777853261,0.09623651919157608,0.8723781419836957,-0.42635179602581524,-0.20404848845108695,0.12421450407608696,0.7162369437839674,-0.6279111115828805,-0.24418573794157608,0.18184761379076086
7,0.8171943996263586,0.19369639521059784,-0.5397710385529891,-0.056269106657608696,0.6565578294836957,0.523331351902174,0.3524276069972826,0.4132053541100543,0.998291015625,-0.020441469938858696,0.052609650985054345,-0.012098229449728262,0.9681661854619565,-0.22831659731657608,-0.03652290675951087,0.09556778617527174,0.8730999490489131,-0.42507271144701086,-0.2037300441576087,0.12400751528532608,0.7169269064198369,-0.6275661302649457,-0.2434745456861413,0.18119480298913043
8,0.8171413255774457,0.19279413637907608,-0.5401425568953805,-0.05743673573369565,0.6559740149456522,0.5234905740489131,0.3525337550951087,0.41378916864809784,0.998291015625,-0.019167692764945652,0.053193465523097824,-0.01162056300951087,0.9684315557065217,-0.22693667204483695,-0.03615138841711957,0.09604545261548914,0.8736306895380435,-0.42470119310461957,-0.20245626698369565,0.12384829313858696,0.7176168690557065,-0.6269823157269022,-0.24352761973505435,0.18039869225543478
9,0.817138671875,0.1927490234375,-0.5401611328125,-0.0574951171875,0.65594482421875,0.52349853515625,0.3525390625,0.413818359375,0.9982405952785326,-0.019658627717391304,0.05367643936820652,-0.011899201766304348,0.9683439835258152,-0.22767440132472827,-0.035073985224184784,0.09571639351222826,0.8736572265625,-0.4246826171875,-0.202392578125,0.12384033203125,0.7176513671875,-0.626953125,-0.2435302734375,0.18035888671875
10,0.8169263756793478,0.19249426800271738,-0.5405008067255435,-0.058259383491847824,0.6557749872622283,0.5234560759171195,0.3525390625,0.4142004925271739,0.99822998046875,-0.019265879755434784,0.05432394276494565,-0.011495838994565218,0.9683652131453805,-0.22775931980298914,-0.034426481827445655,0.09555717136548914,0.8736572265625,-0.4248099949048913,-0.20196798573369565,0.12388279127038043,0.7174815302309783,-0.6271229619565217,-0.2434028957201087,0.18052872367527173
11,0.81683349609375,0.1923828125,-0.5406494140625,-0.05859375,0.6561836574388586,0.5232650093410326,0.3522285793138587,0.4140571925951087,0.9981954823369565,-0.01942244819972826,0.055048403532608696,-0.011912470278532606,0.9683837890625,-0.22772216796875,-0.03424072265625,0.09552001953125,0.8736227284307065,-0.42524520210597827,-0.20157523777173914,0.12334939707880435,0.7174072265625,-0.627197265625,-0.24334716796875,0.18060302734375
12,0.8168069590692935,0.19246242357336957,-0.5405698029891305,-0.05909795346467391,0.6562367314877717,0.52313232421875,0.3521755052649457,0.41416334069293476,0.9981689453125,-0.019555133322010868,0.05544645889945652,-0.01191247027853261,0.9683837890625,-0.2277487049932065,-0.03410803753396739,0.09544040845788043,0.8736227284307065,-0.42524520210597827,-0.20160177479619565,0.12329632302989131,0.7174603006114131,-0.6271707286005435,-0.24334716796875,0.18047034222146738
13,0.8167724609375,0.19256591796875,-0.54046630859375,-0.05975341796875,0.6561385444972826,0.5230951723845109,0.35226838485054346,0.414314601732337,0.9981503693953805,-0.019459600033967392,0.05562956436820652,-0.011755901834239128,0.9683837890625,-0.227783203125,-0.033935546875,0.0953369140625,0.8736572265625,-0.42501432999320654,-0.20176895805027173,0.1234077785326087,0.717529296875,-0.62713623046875,-0.24334716796875,0.1802978515625
14,0.8167512313179348,0.19265083644701086,-0.5404450789741848,-0.05994448454483695,0.6567435886548914,0.5229677946671195,0.3520348590353261,0.4137626316236413,0.99810791015625,-0.01971435546875,0.056086001188858696,-0.0128173828125,0.9683837890625,-0.22782566236413043,-0.03385062839673913,0.09529445482336957,0.8736572265625,-0.42527970023777173,-0.20166280995244565,0.12273904551630435,0.7174974524456522,-0.6271574600883152,-0.24342147163722827,0.18028723675271738
