gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Base",0,0,0.981873,0.113403,-0.149902,0.023071,0.996887,0.000183,0.078613,0.002747,0.987244,-0.062012,0.139404,0.045166,0.994019,0.010681,0.107788,0.012817,0.986023,-0.165771,0.012695,0.000549,0.965637,-0.248291,0.075867,-0.001526
"Base",0,1,0.981873,0.113403,-0.149902,0.023071,0.996887,0.000183,0.078613,0.002747,0.987183,-0.062073,0.139404,0.045166,0.994019,0.010742,0.107788,0.012817,0.986023,-0.165771,0.012756,0.000549,0.965637,-0.248352,0.075867,-0.001526
"Base",0,2,0.981873,0.113403,-0.149841,0.02301,0.996887,0.000183,0.078552,0.002686,0.987183,-0.062134,0.139404,0.045166,0.994019,0.010742,0.107788,0.012817,0.986023,-0.165771,0.012756,0.000549,0.965637,-0.248352,0.075867,-0.001526
"Base",0,3,0.981873,0.113464,-0.14978,0.02301,0.996887,0.000244,0.07843,0.002625,0.987183,-0.062134,0.139404,0.045227,0.994019,0.010681,0.107788,0.012756,0.986023,-0.165771,0.012817,0.000549,0.965637,-0.248352,0.075867,-0.001526
"Base",0,4,0.981873,0.113403,-0.149719,0.02301,0.996887,0.000305,0.078369,0.002563,0.987183,-0.062134,0.139404,0.045227,0.994019,0.010742,0.107788,0.012756,0.986023,-0.165771,0.012817,0.000549,0.965637,-0.248413,0.075928,-0.001526
"Base",0,5,0.981873,0.113403,-0.149719,0.022949,0.996887,0.000366,0.078308,0.002502,0.987244,-0.062073,0.139343,0.045288,0.994019,0.010803,0.107849,0.012756,0.986023,-0.16571,0.012817,0.000549,0.965637,-0.248413,0.075989,-0.001526
"Base",0,6,0.981873,0.113403,-0.149719,0.022949,0.996887,0.000427,0.078186,0.002441,0.987244,-0.062073,0.139343,0.045288,0.994019,0.010925,0.107849,0.012756,0.986023,-0.16571,0.012878,0.000549,0.965637,-0.248413,0.075989,-0.001465
"Base",0,7,0.981934,0.113342,-0.149658,0.022949,0.996887,0.000427,0.078186,0.002441,0.987183,-0.062073,0.139404,0.045349,0.994019,0.010925,0.107849,0.012756,0.986023,-0.165771,0.012878,0.000549,0.965637,-0.248474,0.07605,-0.001465
"Base",0,8,0.981934,0.113403,-0.149658,0.022949,0.996887,0.000427,0.078186,0.00238,0.987183,-0.062134,0.139404,0.045349,0.994019,0.010864,0.107849,0.012756,0.986023,-0.165771,0.012878,0.000488,0.965576,-0.248474,0.07605,-0.001465
"Base",0,9,0.981934,0.113403,-0.149597,0.022949,0.996887,0.000488,0.078064,0.00238,0.987183,-0.062256,0.139404,0.045349,0.994019,0.010864,0.107849,0.012756,0.986023,-0.165771,0.012878,0.000488,0.965576,-0.248535,0.07605,-0.001465
"Base",0,10,0.981934,0.113464,-0.149475,0.022949,0.996887,0.000488,0.078064,0.00238,0.987183,-0.062317,0.139404,0.045349,0.994019,0.010803,0.107849,0.012756,0.986023,-0.165833,0.012939,0.000488,0.965576,-0.248596,0.076111,-0.001465
"Base",0,11,0.981934,0.113464,-0.149414,0.022949,0.996887,0.000488,0.078064,0.002441,0.987183,-0.062378,0.139404,0.04541,0.994019,0.010803,0.107849,0.012695,0.986023,-0.165833,0.012878,0.000488,0.965576,-0.248596,0.07605,-0.001465
"Base",0,12,0.981934,0.113525,-0.149353,0.022949,0.996887,0.000488,0.078003,0.002441,0.987183,-0.0625,0.139465,0.04541,0.994019,0.010681,0.107849,0.012695,0.986023,-0.165894,0.012878,0.000488,0.965576,-0.248596,0.07605,-0.001465
"Base",0,13,0.981934,0.113586,-0.149292,0.02301,0.996887,0.000488,0.078064,0.002441,0.987183,-0.062561,0.139465,0.04541,0.994019,0.010681,0.107849,0.012695,0.986023,-0.165955,0.012878,0.000488,0.965576,-0.248657,0.075989,-0.001465
"Base",0,14,0.981934,0.113525,-0.149292,0.02301,0.996887,0.000488,0.078003,0.002441,0.987183,-0.062561,0.139465,0.045471,0.994019,0.010681,0.107849,0.012634,0.986023,-0.166016,0.012939,0.000488,0.965576,-0.248657,0.075989,-0.001465
"Base",0,15,0.981934,0.113525,-0.149353,0.02301,0.996948,0.000549,0.077942,0.00238,0.987183,-0.0625,0.139465,0.045471,0.994019,0.010742,0.107849,0.012634,0.986023,-0.165955,0.012939,0.000488,0.965576,-0.248657,0.07605,-0.001465
"Base",0,16,0.981934,0.113525,-0.149292,0.022949,0.996948,0.00061,0.077881,0.002319,0.987183,-0.0625,0.139465,0.045532,0.994019,0.010742,0.107849,0.012634,0.986023,-0.165955,0.012939,0.000488,0.965576,-0.248718,0.07605,-0.001465
"Base",0,17,0.981934,0.113586,-0.149292,0.022949,0.996948,0.000549,0.077881,0.002319,0.987183,-0.062561,0.139465,0.045532,0.994019,0.010681,0.107849,0.012634,0.986023,-0.166016,0.012939,0.000488,0.965515,-0.248779,0.076111,-0.001465
"Base",0,18,0.981934,0.113586,-0.149292,0.02301,0.996948,0.000549,0.077881,0.002319,0.987183,-0.062561,0.139526,0.045532,0.994019,0.010681,0.10791,0.012634,0.986023,-0.166016,0.012939,0.000488,0.965515,-0.248779,0.076111,-0.001465
"Base",0,19,0.981934,0.113647,-0.149353,0.02301,0.996948,0.000549,0.077942,0.002319,0.987122,-0.062561,0.139526,0.045593,0.994019,0.010681,0.10791,0.012573,0.986023,-0.166077,0.013,0.000488,0.965515,-0.248779,0.076111,-0.001465
"Base",0,20,0.981934,0.113647,-0.149353,0.023071,0.996948,0.000549,0.077942,0.002319,0.987122,-0.062622,0.139526,0.045593,0.994019,0.01062,0.10791,0.012573,0.985962,-0.166077,0.013,0.000427,0.965515,-0.248779,0.076111,-0.001465
"Base",0,21,0.981934,0.113647,-0.149353,0.023071,0.996948,0.000549,0.077942,0.002319,0.987122,-0.062622,0.139526,0.045593,0.993958,0.01062,0.10791,0.012573,0.985962,-0.166138,0.013,0.000427,0.965515,-0.248779,0.076111,-0.001526
"Base",0,22,0.981934,0.113708,-0.149353,0.023132,0.996887,0.000549,0.078003,0.002319,0.987122,-0.062622,0.139587,0.045654,0.993958,0.01062,0.107971,0.012573,0.985962,-0.166138,0.013,0.000427,0.965515,-0.24884,0.076111,-0.001465
"Base",0,23,0.981934,0.113708,-0.149353,0.023132,0.996887,0.000488,0.078064,0.00238,0.987122,-0.062683,0.139587,0.045654,0.993958,0.01062,0.107971,0.012573,0.985962,-0.166199,0.013062,0.000427,0.965515,-0.248901,0.076172,-0.001465
"Base",0,24,0.981934,0.113708,-0.149292,0.023132,0.996948,0.00061,0.077942,0.002319,0.987122,-0.062683,0.139648,0.045654,0.993958,0.01062,0.107971,0.012512,0.985962,-0.166199,0.013062,0.000427,0.965515,-0.248901,0.076172,-0.001465
"Base",0,25,0.981934,0.113708,-0.149292,0.023132,0.996948,0.00061,0.077942,0.002319,0.987122,-0.062805,0.139648,0.045715,0.993958,0.010559,0.107971,0.012512,0.985962,-0.16626,0.013062,0.000366,0.965454,-0.248901,0.076172,-0.001526
"Base",0,26,0.981934,0.113708,-0.149231,0.023132,0.996948,0.00061,0.077942,0.002319,0.987122,-0.062744,0.139587,0.045715,0.993958,0.010559,0.107971,0.012512,0.985962,-0.16626,0.013062,0.000366,0.965454,-0.248962,0.076172,-0.001465
"Base",0,27,0.981934,0.113708,-0.149231,0.023132,0.996948,0.00061,0.077881,0.002258,0.987122,-0.062683,0.139587,0.045776,0.993958,0.010681,0.108032,0.012512,0.985962,-0.166199,0.013062,0.000366,0.965454,-0.248962,0.076233,-0.001465
"Base",0,28,0.981934,0.113708,-0.149231,0.023132,0.996948,0.00061,0.077942,0.002258,0.987122,-0.062744,0.139587,0.045776,0.993958,0.01062,0.107971,0.012512,0.985962,-0.16626,0.013062,0.000366,0.965454,-0.248962,0.076233,-0.001465
"Base",0,29,0.981934,0.11377,-0.14917,0.023193,0.996948,0.00061,0.077881,0.002319,0.987122,-0.062683,0.139587,0.045837,0.993958,0.01062,0.107971,0.012512,0.985962,-0.16626,0.013062,0.000366,0.965454,-0.248962,0.076172,-0.001465
