timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.90625,-0.06549072265625,-0.1416015625,-0.392822265625,0.69818115234375,0.44622802734375,0.263916015625,0.49359130859375,-0.092529296875,-0.69793701171875,0.70489501953125,0.08575439453125,0.06121826171875,-0.8414306640625,0.5362548828125,0.02374267578125,0.2156982421875,0.714111328125,-0.66375732421875,-0.052978515625,-0.16552734375,-0.31927490234375,0.9202880859375,0.1539306640625
1,0.90625,-0.06549072265625,-0.1416015625,-0.392822265625,0.69818115234375,0.44622802734375,0.263916015625,0.49359130859375,-0.09246826171875,-0.697998046875,0.704833984375,0.0859375,0.06121826171875,-0.8414306640625,0.5362548828125,0.02374267578125,0.2156982421875,0.714111328125,-0.66375732421875,-0.052978515625,-0.16552734375,-0.31927490234375,0.9202880859375,0.1539306640625
2,0.90625,-0.06536865234375,-0.1417236328125,-0.39276123046875,0.6981201171875,0.4462890625,0.2640380859375,0.49359130859375,-0.0926513671875,-0.69793701171875,0.704833984375,0.08587646484375,0.06103515625,-0.84149169921875,0.5362548828125,0.0238037109375,0.21577397477267976,0.7141429684233904,-0.6637256839203596,-0.05301015592339047,-0.16552734375,-0.31927490234375,0.9202880859375,0.15386962890625
3,0.90625,-0.06536865234375,-0.1417236328125,-0.39276123046875,0.6981201171875,0.4462890625,0.2640380859375,0.49359130859375,-0.092529296875,-0.69793701171875,0.70489501953125,0.0859375,0.06103515625,-0.84149169921875,0.5362548828125,0.0238037109375,0.21575927734375,0.71417236328125,-0.6636962890625,-0.05303955078125,-0.16552734375,-0.31927490234375,0.9202880859375,0.15386962890625
4,0.90625,-0.06536865234375,-0.141845703125,-0.39276123046875,0.69805908203125,0.44647216796875,0.2640380859375,0.49346923828125,-0.0926513671875,-0.69793701171875,0.704833984375,0.08599853515625,0.06103515625,-0.8414306640625,0.5362548828125,0.02398681640625,0.2158203125,0.714111328125,-0.6636962890625,-0.05313447167642141,-0.16552734375,-0.31927490234375,0.9202880859375,0.15386962890625
5,0.90625,-0.06536865234375,-0.141845703125,-0.39276123046875,0.69805908203125,0.44647216796875,0.2640380859375,0.49346923828125,-0.09259033203125,-0.6978759765625,0.70489501953125,0.086181640625,0.06103515625,-0.8414306640625,0.5362548828125,0.02398681640625,0.2158203125,0.714111328125,-0.6636962890625,-0.05322265625,-0.16552734375,-0.31927490234375,0.9202880859375,0.15386962890625
6,0.90618896484375,-0.06536865234375,-0.1419677734375,-0.39276123046875,0.697998046875,0.44659423828125,0.26416015625,0.493408203125,-0.09271240234375,-0.69793701171875,0.704833984375,0.08624267578125,0.0609130859375,-0.8414306640625,0.5362548828125,0.024169921875,0.2159423828125,0.714111328125,-0.6636521967757107,-0.05325654198892141,-0.1656494140625,-0.31927490234375,0.92022705078125,0.1539306640625
7,0.90618896484375,-0.06536865234375,-0.1419677734375,-0.39276123046875,0.697998046875,0.44659423828125,0.26416015625,0.493408203125,-0.09271240234375,-0.6978759765625,0.704833984375,0.08624267578125,0.0609130859375,-0.8414306640625,0.5362548828125,0.024169921875,0.2159423828125,0.714111328125,-0.6636962890625,-0.0533447265625,-0.1656494140625,-0.31927490234375,0.92022705078125,0.1539306640625
8,0.90618896484375,-0.06536865234375,-0.1419677734375,-0.392822265625,0.697998046875,0.4466552734375,0.26422119140625,0.49334716796875,-0.09271240234375,-0.69793701171875,0.70477294921875,0.08624267578125,0.06085205078125,-0.84149169921875,0.5362548828125,0.024169921875,0.21594687369356189,0.71417236328125,-0.663633008465719,-0.0533447265625,-0.16571044921875,-0.3193359375,0.920166015625,0.154052734375
9,0.90618896484375,-0.06536865234375,-0.1419677734375,-0.392822265625,0.697998046875,0.4466552734375,0.26422119140625,0.49334716796875,-0.0927734375,-0.69793701171875,0.70477294921875,0.0863037109375,0.06085205078125,-0.84149169921875,0.5362548828125,0.024169921875,0.216064453125,0.71417236328125,-0.66357421875,-0.0533447265625,-0.16571044921875,-0.3193359375,0.920166015625,0.154052734375
10,0.90618896484375,-0.06524658203125,-0.1419677734375,-0.39288330078125,0.69805908203125,0.4464111328125,0.2642822265625,0.493408203125,-0.0927734375,-0.697998046875,0.70477294921875,0.086181640625,0.06072998046875,-0.841552734375,0.53607177734375,0.02410888671875,0.21616161946070234,0.7142333984375,-0.66351318359375,-0.05322265625,-0.165771484375,-0.31939697265625,0.920166015625,0.154052734375
11,0.90618896484375,-0.06524658203125,-0.1419677734375,-0.39288330078125,0.69805908203125,0.4464111328125,0.2642822265625,0.493408203125,-0.09295654296875,-0.697998046875,0.7047119140625,0.08624267578125,0.06072998046875,-0.841552734375,0.53607177734375,0.02410888671875,0.2161865234375,0.7142333984375,-0.66351318359375,-0.05322265625,-0.165771484375,-0.31939697265625,0.920166015625,0.154052734375
