timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.864441,-0.056946,-0.199158,-0.458008,0.149475,0.070496,-0.016602,-0.986084,0.988953,0.025085,0.126587,-0.072083,0.989319,0.054688,0.056519,-0.122314,0.949402,-0.107849,0.033508,-0.292969,0.910828,-0.283752,0.158264,-0.254456
1,0.8643498060200668,-0.05703719397993311,-0.19927959197324416,-0.45809919397993315,0.14907982608695652,0.07034351170568562,-0.016479909698996653,-0.9861447959866221,0.988953,0.024841816053511705,0.12661739799331104,-0.07214379598662207,0.989319,0.054596307692307694,0.05657979598662207,-0.12234439799331104,0.9493716020066889,-0.10775780602006689,0.03353839799331104,-0.29302979598662204,0.9107368060200669,-0.28390448829431436,0.15832479598662208,-0.25454719397993314
2,0.8642586120401338,-0.05712838795986622,-0.1994011839464883,-0.4581903879598662,0.14868465217391305,0.07019102341137123,-0.01635781939799331,-0.9862055919732442,0.988953,0.024598632107023413,0.1266477959866221,-0.07220459197324415,0.989319,0.05450461538461538,0.05664059197324414,-0.12237479598662207,0.949341204013378,-0.10766661204013378,0.033568795986622074,-0.29309059197324416,0.9106456120401338,-0.2840569765886287,0.15838559197324414,-0.2546383879598662
3,0.8641674180602007,-0.05715919397993311,-0.1996435518394649,-0.45825138795986625,0.14847014715719065,0.07012961204013378,-0.01629661204013378,-0.9862361939799331,0.988953,0.024415836120401338,0.1266781939799331,-0.07223519397993311,0.989319,0.05438322408026756,0.05667119397993311,-0.1224056889632107,0.949341,-0.10754522408026757,0.033569,-0.2931513879598662,0.9106143110367894,-0.2841485819397993,0.15841619397993312,-0.254639
4,0.8640762240802676,-0.05718959197324414,-0.1998867357859532,-0.4583121839464883,0.14825686287625417,0.07006881605351171,-0.016235816053511706,-0.9862665919732442,0.988953,0.024233448160535118,0.12670859197324413,-0.07226559197324414,0.989319,0.054261632107023415,0.05670159197324415,-0.12243658528428095,0.949341,-0.10742363210702341,0.033569,-0.2932121839464883,0.9105834147157191,-0.2842397759197325,0.15844659197324415,-0.254639
5,0.8639850301003345,-0.05727996989966555,-0.20012991973244149,-0.4583729799331104,0.14783414046822743,0.0698880602006689,-0.016235,-0.9863569698996656,0.988953,0.024141030100334446,0.12676897993311037,-0.07223601003344482,0.989319,0.05423001003344482,0.05667201003344482,-0.122437,0.9493709899665551,-0.10733203010033444,0.03350902006688963,-0.293213,0.910583,-0.2842709899665552,0.158447,-0.2546090100334448
6,0.8638938361204014,-0.05737116387959866,-0.20037310367892977,-0.45843377591973244,0.1474085685618729,0.06970567224080268,-0.016235,-0.9864481638795987,0.988953,0.024049836120401336,0.12682977591973243,-0.07220561204013379,0.989319,0.05419961204013378,0.05664161204013378,-0.122437,0.9494013879598662,-0.10724083612040133,0.033448224080267555,-0.293213,0.910583,-0.2843013879598662,0.158447,-0.2545786120401338
7,0.8637723678929766,-0.057670859531772575,-0.20061677591973243,-0.4584945719063545,0.1469229364548495,0.06952328428093646,-0.016235,-0.9865393578595318,0.988953,0.023988428093645486,0.12695014381270903,-0.07208536789297659,0.989319,0.05416921404682274,0.05670057190635451,-0.1223769397993311,0.949402,-0.10717942809364549,0.033387428093645484,-0.29318321404682274,0.9106132742474917,-0.28427221404682274,0.15838742809364548,-0.2545184280936455
8,0.8636502775919733,-0.057974839464882945,-0.20086045819397993,-0.4585553678929766,0.1464360702341137,0.06934089632107023,-0.016235,-0.9866305518394649,0.988953,0.02392763210702341,0.12707173578595318,-0.07196327759197324,0.989319,0.0541388160535117,0.05676136789297659,-0.12231564548494984,0.949402,-0.10711863210702341,0.03332663210702341,-0.29315281605351173,0.910644170568562,-0.28424181605351173,0.1583266321070234,-0.25445763210702343
9,0.8634990903010034,-0.05839763210702341,-0.2012515652173913,-0.458645745819398,0.1457426153846154,0.06886220401337792,-0.016353327759197324,-0.9867513277591973,0.988953,0.023866836120401337,0.127163745819398,-0.07169376254180602,0.9893485819397994,0.05416758193979933,0.05682216387959866,-0.12222525418060201,0.9494315819397993,-0.10696909030100335,0.033206672240802676,-0.293152,0.9107633277591973,-0.28406350836120403,0.15811792642140468,-0.25433718729096993
10,0.8633471003344482,-0.058823702341137124,-0.2016467391304348,-0.4587369397993311,0.14504346153846154,0.06837533779264214,-0.016474919732441473,-0.9868729197324415,0.988953,0.023806040133779263,0.1272549397993311,-0.0714201806020067,0.9893789799331104,0.05419797993311037,0.05688295986622073,-0.1221340602006689,0.9494619799331103,-0.10681710033444816,0.03308508026755853,-0.293152,0.9108849197324415,-0.2838811204013378,0.15790514046822743,-0.2542150969899666
11,0.8631069765886288,-0.05927866889632107,-0.20221866220735787,-0.45882813377926424,0.14393205351170568,0.06747718060200669,-0.016890772575250835,-0.987083127090301,0.9889823779264214,0.023950889632107022,0.1273461337792642,-0.07102908695652174,0.98938,0.05440464548494983,0.05694375585284281,-0.12198411036789299,0.9495217558528428,-0.10640022742474917,0.032992866220735786,-0.2931226220735786,0.9111240234113712,-0.28355136120401336,0.15760422073578598,-0.2540053545150502
