gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture2",0,0,0.79726,0.187573,0.426382,-0.383904,0.949772,-0.092155,0.128964,0.269799,0.932134,-0.151391,-0.015717,0.328547,0.843786,-0.472068,-0.089271,0.239146,0.592097,-0.7211,-0.111454,0.342048,0.842579,-0.476343,-0.133761,0.21272
"Gesture2",0,1,0.797078,0.187635,0.426611,-0.383998,0.949664,-0.092166,0.129275,0.270029,0.932027,-0.151693,-0.015572,0.328719,0.843521,-0.472483,-0.089419,0.239205,0.591815,-0.721423,-0.111296,0.341907,0.842404,-0.476644,-0.133743,0.212747
"Gesture2",0,2,0.796901,0.187682,0.426838,-0.38409,0.949556,-0.092165,0.129594,0.270255,0.931924,-0.151957,-0.01543,0.328894,0.84326,-0.472901,-0.089522,0.239261,0.591528,-0.721743,-0.111193,0.341761,0.842228,-0.476932,-0.133743,0.212799
"Gesture2",0,3,0.796717,0.187729,0.427053,-0.384209,0.949446,-0.092204,0.12991,0.270474,0.931832,-0.152251,-0.015261,0.329026,0.843007,-0.473317,-0.089586,0.239308,0.591207,-0.722091,-0.111158,0.341593,0.842025,-0.477263,-0.133753,0.212856
"Gesture2",0,4,0.796525,0.187778,0.427267,-0.384346,0.949339,-0.092279,0.130183,0.270693,0.931745,-0.15259,-0.015107,0.329124,0.842759,-0.473733,-0.089648,0.239332,0.590879,-0.722456,-0.111207,0.341373,0.841812,-0.477621,-0.133768,0.212883
"Gesture2",0,5,0.796325,0.187838,0.427486,-0.384488,0.94924,-0.092404,0.130417,0.270887,0.93167,-0.15294,-0.014959,0.32918,0.84251,-0.474173,-0.089707,0.239316,0.590556,-0.722837,-0.111316,0.341089,0.841592,-0.478008,-0.13379,0.212871
"Gesture2",0,6,0.796112,0.187913,0.42771,-0.384644,0.949136,-0.092507,0.130628,0.271115,0.931594,-0.153289,-0.014789,0.329242,0.842254,-0.474652,-0.089745,0.239257,0.590212,-0.723256,-0.111432,0.340761,0.841357,-0.478427,-0.133817,0.212843
"Gesture2",0,7,0.795885,0.188026,0.427933,-0.384809,0.949027,-0.092564,0.130827,0.271379,0.931522,-0.153681,-0.014588,0.32927,0.841972,-0.475184,-0.08977,0.23918,0.589833,-0.723717,-0.111534,0.340402,0.841101,-0.478892,-0.133837,0.212798
"Gesture2",0,8,0.795648,0.188211,0.428161,-0.384956,0.948928,-0.092601,0.13099,0.271635,0.93146,-0.154114,-0.014408,0.329251,0.841703,-0.475717,-0.089782,0.239066,0.58945,-0.724228,-0.111533,0.339979,0.840867,-0.47936,-0.133769,0.21271
"Gesture2",0,9,0.795414,0.188427,0.428366,-0.385106,0.948825,-0.092651,0.131149,0.271902,0.931392,-0.154501,-0.014217,0.329271,0.841458,-0.476198,-0.089746,0.238981,0.589101,-0.724707,-0.111367,0.339618,0.840662,-0.47979,-0.13364,0.212633
"Gesture2",0,10,0.795189,0.188645,0.428558,-0.385248,0.948723,-0.092698,0.131321,0.272157,0.93132,-0.154835,-0.014022,0.329326,0.841228,-0.476646,-0.089672,0.238928,0.588799,-0.725116,-0.111047,0.339374,0.840492,-0.480156,-0.133479,0.212577
"Gesture2",0,11,0.794974,0.188858,0.428731,-0.385396,0.948583,-0.092697,0.13146,0.272577,0.931228,-0.155151,-0.013827,0.329447,0.840988,-0.477098,-0.089597,0.2389,0.588519,-0.72548,-0.110654,0.339209,0.840331,-0.480498,-0.133304,0.212553
"Gesture2",0,12,0.794767,0.189045,0.428899,-0.385545,0.948428,-0.092698,0.131612,0.273045,0.93113,-0.155475,-0.01363,0.329578,0.840732,-0.477547,-0.089589,0.238906,0.588241,-0.725839,-0.110356,0.33902,0.840172,-0.480825,-0.133147,0.212541
"Gesture2",0,13,0.794569,0.189191,0.429058,-0.385703,0.948261,-0.092723,0.131798,0.273527,0.93103,-0.155764,-0.01342,0.329733,0.840466,-0.47799,-0.089625,0.238942,0.587956,-0.726194,-0.110175,0.338814,0.840001,-0.481153,-0.133037,0.212545
"Gesture2",0,14,0.794386,0.189254,0.429209,-0.385882,0.948068,-0.092753,0.132051,0.274059,0.930906,-0.15617,-0.013246,0.329897,0.840186,-0.478418,-0.089706,0.239039,0.587665,-0.72652,-0.110143,0.338629,0.839804,-0.481474,-0.133021,0.212604
"Gesture2",0,15,0.794209,0.189264,0.429373,-0.386059,0.947861,-0.092743,0.132265,0.274678,0.930761,-0.156597,-0.013143,0.33011,0.839874,-0.478876,-0.089852,0.239163,0.587378,-0.726835,-0.110236,0.33842,0.839595,-0.481787,-0.133078,0.212686
"Gesture2",0,16,0.794037,0.189248,0.429547,-0.386228,0.947636,-0.092599,0.132365,0.275454,0.930598,-0.157055,-0.013087,0.330354,0.83951,-0.479402,-0.090052,0.239312,0.587078,-0.727156,-0.110468,0.338176,0.839358,-0.482122,-0.133199,0.212786
