timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.987342,-0.021094,0.07491,-0.138171,0.834509,0.217905,0.45174,0.228092,0.933692,0.139461,-0.224081,0.241952,0.978372,0.122794,0.109564,-0.125251,0.975521,0.028941,0.132253,0.173241,0.982008,-0.002982,0.137041,-0.129826
1,0.987474,-0.021118,0.074631,-0.137372,0.834855,0.218243,0.451383,0.227206,0.934093,0.139331,-0.223351,0.241152,0.978285,0.122916,0.109226,-0.126107,0.975684,0.029403,0.131997,0.172442,0.981919,-0.002526,0.136881,-0.130672
2,0.987598,-0.021144,0.074338,-0.136633,0.835194,0.218527,0.451061,0.226327,0.934489,0.139164,-0.222605,0.240405,0.978212,0.12296,0.108917,-0.126899,0.975832,0.029806,0.131759,0.171713,0.981838,-0.002118,0.136719,-0.131452
3,0.987717,-0.021138,0.074036,-0.135932,0.83554,0.218743,0.450741,0.225477,0.934888,0.138922,-0.221847,0.239693,0.978148,0.122948,0.108619,-0.127654,0.975975,0.030145,0.131529,0.17102,0.981762,-0.00177,0.136561,-0.132193
4,0.987857,-0.021168,0.073712,-0.135088,0.835892,0.219083,0.450388,0.224547,0.935317,0.138719,-0.221086,0.238835,0.978056,0.122998,0.108329,-0.128552,0.976136,0.030576,0.131306,0.170194,0.981659,-0.001333,0.136456,-0.133067
5,0.988004,-0.021158,0.073337,-0.134216,0.836216,0.219448,0.450091,0.223576,0.935746,0.1386,-0.220288,0.237962,0.977945,0.123109,0.108081,-0.129493,0.976299,0.031023,0.131104,0.169329,0.981543,-0.000877,0.136393,-0.133983
6,0.988134,-0.021111,0.072933,-0.133483,0.83649,0.219781,0.449853,0.222701,0.936144,0.138499,-0.219452,0.237225,0.977859,0.123133,0.107856,-0.130306,0.976433,0.031433,0.13095,0.168596,0.981444,-0.000485,0.136351,-0.134757
7,0.988266,-0.021066,0.072543,-0.132721,0.836729,0.220089,0.449656,0.221898,0.936555,0.138322,-0.218654,0.236444,0.977781,0.123072,0.107622,-0.131144,0.976575,0.031753,0.130776,0.167848,0.981348,-0.000163,0.136274,-0.135534
8,0.988379,-0.021053,0.072177,-0.132081,0.836944,0.220337,0.449449,0.221256,0.93694,0.138116,-0.217864,0.235764,0.97772,0.123006,0.107371,-0.131859,0.976704,0.03192,0.130574,0.167224,0.981273,3.3e-05,0.136177,-0.136167
9,0.988491,-0.021041,0.071776,-0.131463,0.837137,0.220595,0.449266,0.220642,0.937324,0.137938,-0.217046,0.235098,0.977654,0.122964,0.107153,-0.132563,0.976824,0.032149,0.130409,0.166608,0.981194,0.000261,0.136118,-0.136797
10,0.988597,-0.02099,0.071341,-0.13091,0.837303,0.220817,0.449135,0.220054,0.937685,0.13782,-0.216196,0.234507,0.977595,0.122898,0.106961,-0.133215,0.97693,0.032412,0.130276,0.166038,0.981118,0.000511,0.136061,-0.137397
11,0.988695,-0.020953,0.070939,-0.130389,0.837469,0.221005,0.448993,0.219524,0.938043,0.137654,-0.215359,0.233946,0.977549,0.12279,0.106746,-0.133823,0.977032,0.032669,0.130116,0.165511,0.981054,0.000759,0.135949,-0.137962
12,0.988792,-0.020946,0.070544,-0.12987,0.837629,0.221161,0.44886,0.219027,0.93841,0.137415,-0.214528,0.233378,0.977505,0.122669,0.106541,-0.134415,0.977136,0.032856,0.129942,0.164999,0.980994,0.000947,0.135822,-0.138511
13,0.988884,-0.020939,0.070116,-0.129407,0.837768,0.221278,0.448773,0.218555,0.938769,0.137178,-0.213655,0.232872,0.977471,0.122499,0.106382,-0.134942,0.977228,0.033003,0.129793,0.16454,0.980941,0.001103,0.135701,-0.139005
14,0.988973,-0.020914,0.069656,-0.128976,0.837897,0.22134,0.448727,0.218092,0.939125,0.136941,-0.212746,0.232408,0.977444,0.122274,0.106262,-0.135435,0.977311,0.033179,0.129664,0.164113,0.98089,0.001247,0.135592,-0.139467
15,0.989065,-0.020895,0.069137,-0.128549,0.838004,0.221408,0.448722,0.217621,0.939492,0.136693,-0.21179,0.23194,0.977412,0.12204,0.106195,-0.135929,0.977388,0.033339,0.12957,0.163695,0.980835,0.001357,0.135532,-0.139911
16,0.989153,-0.020872,0.068597,-0.128169,0.838096,0.221455,0.448741,0.217181,0.939852,0.136441,-0.210823,0.231513,0.977389,0.121768,0.106146,-0.136382,0.977457,0.033468,0.129491,0.163317,0.980785,0.001427,0.135488,-0.140303
17,0.989237,-0.020858,0.068089,-0.127794,0.838182,0.221509,0.448755,0.216763,0.940198,0.136218,-0.209881,0.231097,0.97737,0.121492,0.106056,-0.13683,0.977528,0.033624,0.129395,0.16294,0.980739,0.001528,0.135415,-0.140689
18,0.989324,-0.020854,0.067625,-0.127362,0.838275,0.221631,0.448743,0.216305,0.940544,0.136005,-0.208976,0.230632,0.977339,0.121305,0.105905,-0.137335,0.977611,0.033832,0.129269,0.162497,0.980688,0.001676,0.135318,-0.141136
19,0.98942,-0.020853,0.067226,-0.126825,0.838382,0.221882,0.448687,0.215748,0.940897,0.135799,-0.208131,0.23008,0.977288,0.121239,0.105662,-0.137939,0.977716,0.034115,0.129093,0.161941,0.980625,0.001918,0.135189,-0.141697
20,0.989516,-0.020849,0.066866,-0.126264,0.838491,0.222178,0.448616,0.215164,0.941242,0.135606,-0.207315,0.229515,0.977237,0.121183,0.105378,-0.138564,0.977827,0.034507,0.12891,0.161333,0.980561,0.002208,0.135031,-0.142287
21,0.989613,-0.02084,0.066547,-0.125678,0.838618,0.22248,0.448518,0.214563,0.941585,0.135417,-0.206527,0.228931,0.977185,0.121156,0.105033,-0.139216,0.977945,0.034905,0.128702,0.160701,0.980497,0.002513,0.13484,-0.142897
22,0.98971,-0.020816,0.066159,-0.125121,0.838717,0.222749,0.44848,0.213973,0.941936,0.135206,-0.205689,0.228366,0.977133,0.121091,0.104747,-0.139851,0.978053,0.035239,0.128533,0.160101,0.980432,0.002753,0.134696,-0.143476
23,0.989807,-0.020788,0.065713,-0.124591,0.838801,0.222982,0.448481,0.213398,0.942291,0.135,-0.204805,0.227817,0.977084,0.120972,0.104522,-0.140466,0.978152,0.035539,0.128413,0.159529,0.980365,0.002947,0.134592,-0.144025
24,0.989902,-0.02075,0.06525,-0.124083,0.838879,0.223188,0.448499,0.212839,0.942644,0.134788,-0.203902,0.22729,0.977042,0.120792,0.104326,-0.141057,0.978242,0.035812,0.128315,0.158989,0.9803,0.003125,0.134495,-0.144553
25,0.99,-0.020727,0.064811,-0.123532,0.838957,0.223445,0.448503,0.212252,0.943,0.134576,-0.203028,0.226723,0.976995,0.120632,0.104106,-0.141681,0.97834,0.036097,0.128193,0.158418,0.980232,0.00332,0.134383,-0.145113
26,0.990095,-0.020693,0.064375,-0.12301,0.839033,0.223688,0.448509,0.211683,0.94335,0.134353,-0.202148,0.226185,0.976951,0.120481,0.103879,-0.142279,0.978435,0.036367,0.128068,0.157874,0.980167,0.003504,0.134277,-0.145645
27,0.990189,-0.02066,0.063969,-0.122471,0.839134,0.223931,0.448471,0.211108,0.943696,0.134133,-0.20129,0.225634,0.976905,0.120347,0.103629,-0.142888,0.978516,0.036633,0.128006,0.157358,0.9801,0.003719,0.13416,-0.146196
28,0.990282,-0.020626,0.06362,-0.1219,0.839264,0.224195,0.448372,0.210517,0.944036,0.133928,-0.200473,0.225062,0.976859,0.120236,0.103318,-0.143521,0.978603,0.036922,0.127921,0.156821,0.980033,0.003967,0.13401,-0.146779
29,0.990374,-0.020582,0.063299,-0.12133,0.839402,0.224464,0.448257,0.209926,0.94437,0.133716,-0.199675,0.224497,0.976814,0.120142,0.102973,-0.144152,0.97869,0.037219,0.127822,0.156285,0.979966,0.004228,0.133841,-0.147369
30,0.990459,-0.020538,0.062947,-0.120824,0.839509,0.224712,0.448188,0.209379,0.944696,0.133509,-0.198837,0.223989,0.976773,0.120053,0.102662,-0.144722,0.978762,0.037501,0.12776,0.155816,0.979904,0.00448,0.133705,-0.1479
31,0.990552,-0.020495,0.062632,-0.120233,0.839656,0.224989,0.448052,0.208784,0.945032,0.133296,-0.198045,0.2234,0.976721,0.119998,0.1023,-0.145376,0.978855,0.037796,0.127644,0.155256,0.979832,0.004759,0.133536,-0.148519
32,0.990643,-0.020449,0.062298,-0.11966,0.839799,0.225238,0.447927,0.208207,0.945363,0.133109,-0.197236,0.222824,0.97667,0.119931,0.10195,-0.14602,0.978946,0.038099,0.127525,0.154704,0.97976,0.005026,0.133382,-0.149119
33,0.990732,-0.020394,0.061951,-0.11911,0.839948,0.225451,0.447799,0.207648,0.94569,0.132934,-0.196423,0.22226,0.976621,0.11985,0.101603,-0.146653,0.979034,0.038376,0.127411,0.154174,0.97969,0.005268,0.133235,-0.149702
34,0.990818,-0.020331,0.061582,-0.118597,0.840093,0.22563,0.447685,0.207112,0.946011,0.132762,-0.195605,0.221719,0.976577,0.119747,0.101267,-0.14726,0.979116,0.038616,0.127311,0.153676,0.979621,0.005472,0.133107,-0.15026
35,0.990905,-0.020263,0.061229,-0.118068,0.840251,0.225805,0.447556,0.206562,0.946327,0.132599,-0.194816,0.221159,0.976534,0.119635,0.100905,-0.147887,0.979204,0.038848,0.127185,0.153157,0.97955,0.005679,0.132959,-0.150843
36,0.99099,-0.02019,0.060882,-0.117538,0.840406,0.225987,0.44743,0.206,0.946642,0.132439,-0.194034,0.220597,0.976491,0.119515,0.10053,-0.148519,0.979295,0.039079,0.127043,0.152632,0.979481,0.005885,0.132797,-0.151427
37,0.991072,-0.02012,0.060505,-0.117057,0.840531,0.226149,0.447359,0.20547,0.946949,0.1323,-0.193216,0.220079,0.976454,0.119373,0.100185,-0.149108,0.979377,0.039294,0.12692,0.152151,0.979418,0.006053,0.132655,-0.151953
38,0.991154,-0.020061,0.060122,-0.116565,0.840649,0.226327,0.447289,0.20494,0.947256,0.132181,-0.192399,0.219544,0.976414,0.11924,0.099832,-0.149713,0.979464,0.039508,0.126789,0.151648,0.979352,0.00623,0.132519,-0.152491
39,0.991233,-0.019997,0.059717,-0.116113,0.840748,0.226491,0.447248,0.204442,0.947555,0.132085,-0.191559,0.219045,0.976377,0.1191,0.099495,-0.150285,0.979542,0.039738,0.126674,0.151179,0.979288,0.006412,0.132398,-0.152998
40,0.991318,-0.019932,0.059338,-0.115589,0.840871,0.226691,0.447165,0.203895,0.947864,0.131975,-0.190753,0.218479,0.976332,0.118981,0.09912,-0.150923,0.979633,0.039995,0.126526,0.150642,0.979215,0.006638,0.13225,-0.153581
41,0.991401,-0.019876,0.058955,-0.115085,0.840986,0.226888,0.447088,0.203371,0.94817,0.131858,-0.189933,0.217934,0.976289,0.118852,0.098759,-0.151536,0.979719,0.040248,0.126383,0.150134,0.979145,0.006861,0.132104,-0.154142
42,0.991484,-0.019835,0.058604,-0.11456,0.841115,0.227095,0.446976,0.202852,0.948477,0.13172,-0.189141,0.217371,0.976247,0.118729,0.098372,-0.152154,0.979811,0.040489,0.126211,0.149618,0.979076,0.00709,0.131933,-0.154714
43,0.991564,-0.0198,0.058278,-0.114031,0.841253,0.227306,0.446842,0.202336,0.948782,0.13156,-0.188367,0.216809,0.976206,0.118622,0.097963,-0.152765,0.979903,0.040715,0.126023,0.149106,0.979009,0.00732,0.131744,-0.155285
44,0.991644,-0.019769,0.057963,-0.113501,0.841396,0.227517,0.446698,0.201824,0.949086,0.131373,-0.187604,0.21625,0.976165,0.118526,0.097543,-0.153369,0.979995,0.040955,0.125831,0.148602,0.978944,0.007562,0.131546,-0.155851
45,0.991722,-0.019731,0.057643,-0.112991,0.841535,0.22771,0.446565,0.201321,0.949392,0.131144,-0.186833,0.215714,0.976129,0.118409,0.097131,-0.153945,0.980083,0.041171,0.125637,0.148122,0.978883,0.007783,0.131349,-0.15639
46,0.991801,-0.019697,0.057288,-0.112482,0.84166,0.227901,0.44646,0.200815,0.949702,0.130914,-0.186033,0.215178,0.976094,0.11826,0.096756,-0.154519,0.980169,0.041374,0.125457,0.147648,0.97882,0.007978,0.13118,-0.156917
47,0.991876,-0.019669,0.056933,-0.112002,0.841777,0.228075,0.446361,0.200345,0.950003,0.130705,-0.185222,0.214676,0.976067,0.118085,0.096382,-0.155059,0.98025,0.041563,0.125278,0.147207,0.978762,0.008162,0.131012,-0.157406
48,0.991954,-0.019649,0.056624,-0.111474,0.841916,0.228277,0.446216,0.199853,0.950303,0.130499,-0.184458,0.214133,0.976037,0.117919,0.095948,-0.155643,0.980342,0.041769,0.125063,0.146723,0.978703,0.008362,0.130808,-0.157934
49,0.992029,-0.019624,0.056311,-0.11097,0.842041,0.228477,0.446091,0.199378,0.950599,0.130286,-0.183689,0.21361,0.976009,0.117774,0.095487,-0.156209,0.980431,0.041961,0.124847,0.146257,0.978648,0.00855,0.130598,-0.158436
50,0.9921,-0.019603,0.055964,-0.11051,0.842147,0.228649,0.446,0.198934,0.950886,0.13011,-0.182892,0.213122,0.975987,0.117602,0.09506,-0.156737,0.980511,0.042147,0.124653,0.145832,0.978597,0.008716,0.130417,-0.158891
51,0.992171,-0.019578,0.055592,-0.110061,0.842242,0.228805,0.445934,0.1985,0.951164,0.129999,-0.182084,0.212638,0.975966,0.117394,0.094662,-0.157259,0.98059,0.042307,0.124464,0.145413,0.978546,0.008852,0.130252,-0.159331
52,0.992244,-0.019551,0.055217,-0.109602,0.842339,0.228964,0.445866,0.19806,0.951434,0.129943,-0.1813,0.212137,0.975943,0.117173,0.094263,-0.157808,0.980673,0.042459,0.124268,0.144975,0.978493,0.008985,0.130081,-0.159788
53,0.992319,-0.019521,0.05488,-0.109097,0.842458,0.229145,0.445755,0.197593,0.951703,0.129877,-0.180575,0.211587,0.97591,0.116999,0.093783,-0.158422,0.980769,0.042621,0.12403,0.144483,0.978436,0.009147,0.129871,-0.160299
54,0.992386,-0.019489,0.054492,-0.108685,0.84254,0.229285,0.445706,0.197188,0.951965,0.129804,-0.179795,0.211119,0.975883,0.116834,0.093383,-0.158947,0.980846,0.04277,0.123839,0.144078,0.978388,0.009285,0.129693,-0.160726
55,0.992452,-0.019462,0.054103,-0.108281,0.84263,0.229398,0.445649,0.196802,0.952224,0.129723,-0.179021,0.210654,0.97586,0.116632,0.093014,-0.159455,0.980922,0.042906,0.123647,0.143687,0.978344,0.009399,0.129509,-0.16114
56,0.992518,-0.019435,0.053735,-0.107859,0.842741,0.229494,0.44556,0.196417,0.952482,0.129644,-0.178276,0.210169,0.975837,0.116407,0.092638,-0.159975,0.981005,0.042985,0.123426,0.143283,0.9783,0.009487,0.129304,-0.161563
57,0.992583,-0.019401,0.05335,-0.107464,0.842855,0.229549,0.445475,0.196055,0.952736,0.129568,-0.177523,0.209701,0.97582,0.116148,0.092288,-0.160471,0.981085,0.043034,0.123214,0.142901,0.978259,0.009546,0.129108,-0.161963
58,0.992646,-0.019358,0.052928,-0.107095,0.842969,0.229559,0.445408,0.195705,0.952985,0.12954,-0.176739,0.209252,0.975805,0.115864,0.091974,-0.160947,0.981159,0.043086,0.12303,0.142538,0.978217,0.009592,0.128942,-0.162344
59,0.992711,-0.019318,0.052503,-0.106704,0.843099,0.229562,0.44532,0.195339,0.953236,0.129527,-0.175947,0.208781,0.975785,0.115575,0.091668,-0.161447,0.981235,0.043155,0.122846,0.142152,0.978171,0.009657,0.128781,-0.162749
60,0.992776,-0.019282,0.052075,-0.106321,0.843231,0.229563,0.445232,0.194971,0.953485,0.129536,-0.175135,0.208321,0.975764,0.115305,0.091372,-0.161937,0.981309,0.043228,0.122663,0.141773,0.978124,0.009729,0.128623,-0.16315
61,0.992842,-0.019249,0.05168,-0.105899,0.843369,0.229607,0.445128,0.194561,0.953735,0.129539,-0.174353,0.20783,0.975735,0.115078,0.091036,-0.162461,0.981393,0.043311,0.122451,0.141356,0.978074,0.009822,0.128438,-0.163588
62,0.992907,-0.019226,0.051282,-0.105488,0.843485,0.229683,0.445047,0.194149,0.953982,0.129555,-0.173563,0.20735,0.975706,0.114865,0.09071,-0.162968,0.981472,0.043404,0.12225,0.140952,0.978025,0.009922,0.128263,-0.164013
63,0.992976,-0.01921,0.050924,-0.105012,0.843613,0.229815,0.444936,0.193693,0.954237,0.129538,-0.172812,0.206812,0.975669,0.114673,0.090346,-0.163528,0.981561,0.043519,0.122022,0.14049,0.977968,0.010056,0.128062,-0.164499
64,0.993046,-0.019198,0.050614,-0.104504,0.843751,0.229995,0.444786,0.193222,0.95449,0.129527,-0.1721,0.206243,0.975628,0.114505,0.089932,-0.164115,0.981658,0.043653,0.121761,0.139999,0.97791,0.010221,0.127826,-0.165016
65,0.993114,-0.019185,0.050294,-0.104015,0.843871,0.230186,0.444656,0.192769,0.954734,0.129574,-0.171362,0.205697,0.975589,0.114339,0.089515,-0.164688,0.981749,0.043793,0.121517,0.139524,0.977852,0.010389,0.127611,-0.165516
66,0.993189,-0.019158,0.049963,-0.103456,0.843996,0.230421,0.444523,0.192245,0.95499,0.129627,-0.170626,0.205085,0.975533,0.114206,0.089114,-0.165326,0.981853,0.043937,0.121256,0.138977,0.97778,0.01057,0.127396,-0.166095
67,0.993258,-0.019146,0.049631,-0.102957,0.844114,0.230613,0.444395,0.191792,0.955238,0.129674,-0.169863,0.204536,0.975492,0.114032,0.08873,-0.165898,0.981942,0.044103,0.121023,0.138494,0.977717,0.010756,0.127182,-0.166615
68,0.99332,-0.019127,0.04933,-0.10251,0.844234,0.230771,0.444261,0.191385,0.95548,0.129637,-0.169114,0.204045,0.975462,0.113851,0.088317,-0.166416,0.982026,0.044232,0.120783,0.138068,0.977667,0.010922,0.126939,-0.167084
69,0.993392,-0.01914,0.049051,-0.101936,0.844375,0.231024,0.44408,0.19088,0.955751,0.129548,-0.168388,0.203435,0.975408,0.113739,0.087888,-0.167037,0.982127,0.044414,0.120515,0.137522,0.977597,0.011138,0.126686,-0.167673
70,0.993472,-0.019116,0.048726,-0.101322,0.844513,0.231269,0.443933,0.190314,0.956038,0.129417,-0.167636,0.202791,0.975341,0.113632,0.087514,-0.167698,0.982233,0.044597,0.120254,0.136934,0.977514,0.011344,0.126467,-0.168308
71,0.993543,-0.019098,0.048435,-0.100766,0.844646,0.231534,0.443769,0.189784,0.956306,0.129296,-0.166899,0.202209,0.975296,0.113435,0.087114,-0.168296,0.982331,0.044798,0.119978,0.136408,0.977445,0.011572,0.126207,-0.168883
72,0.993602,-0.019084,0.048127,-0.100328,0.84475,0.231694,0.443661,0.189376,0.956559,0.129162,-0.166124,0.201736,0.975272,0.113208,0.086744,-0.16878,0.982411,0.044923,0.119739,0.135999,0.977399,0.01169,0.125961,-0.169326
73,0.993663,-0.019066,0.047811,-0.099879,0.844869,0.231845,0.443537,0.188951,0.956816,0.129013,-0.16534,0.201255,0.975242,0.113018,0.086373,-0.169273,0.982494,0.045023,0.119501,0.135578,0.97735,0.011806,0.125718,-0.16978
74,0.993724,-0.019037,0.04749,-0.09943,0.844988,0.231979,0.443423,0.188518,0.95707,0.128888,-0.164544,0.200781,0.975212,0.112808,0.086008,-0.169771,0.982573,0.045164,0.119271,0.13516,0.9773,0.011956,0.12547,-0.17024
75,0.993783,-0.019002,0.047149,-0.099008,0.845106,0.232083,0.443323,0.188095,0.957322,0.128751,-0.163727,0.200335,0.97519,0.112536,0.085668,-0.170248,0.982647,0.04527,0.119056,0.134775,0.977255,0.012077,0.125231,-0.170665
76,0.993841,-0.018966,0.046755,-0.098622,0.845213,0.232149,0.443263,0.187676,0.957585,0.128549,-0.162855,0.19992,0.975173,0.112214,0.085391,-0.170692,0.982714,0.04532,0.118878,0.134428,0.977212,0.012135,0.12504,-0.171048
77,0.993896,-0.01893,0.046377,-0.09825,0.845339,0.232185,0.443177,0.187269,0.957841,0.12834,-0.162,0.199522,0.975161,0.111886,0.085106,-0.171119,0.98278,0.045373,0.118688,0.134092,0.977173,0.012194,0.124833,-0.171418
78,0.993952,-0.018901,0.04604,-0.097843,0.845488,0.232229,0.443045,0.18685,0.958096,0.12812,-0.161186,0.199098,0.975144,0.111586,0.084783,-0.171575,0.982852,0.045463,0.11847,0.133725,0.977132,0.012296,0.124582,-0.171829
79,0.994009,-0.018879,0.045712,-0.097429,0.845637,0.232286,0.442918,0.18641,0.958352,0.127883,-0.160373,0.198672,0.975123,0.111311,0.084452,-0.172036,0.982927,0.045546,0.118242,0.13335,0.97709,0.012392,0.12432,-0.172247
80,0.994067,-0.018857,0.045386,-0.096986,0.845785,0.23237,0.44279,0.185938,0.958614,0.127624,-0.159572,0.198218,0.975096,0.111041,0.084117,-0.172527,0.983007,0.04563,0.117999,0.132943,0.977042,0.012494,0.124053,-0.172702
81,0.994123,-0.018816,0.045041,-0.096585,0.845923,0.232422,0.442689,0.185486,0.958872,0.127353,-0.158754,0.197802,0.975075,0.110744,0.083798,-0.172985,0.983082,0.045709,0.117775,0.132564,0.976999,0.012585,0.1238,-0.173121
82,0.994178,-0.018767,0.044693,-0.096182,0.846058,0.232475,0.442588,0.185038,0.959124,0.127124,-0.157951,0.197372,0.975053,0.110454,0.08347,-0.173455,0.983157,0.045795,0.117548,0.132173,0.976954,0.012677,0.123551,-0.173548
83,0.994241,-0.018722,0.044375,-0.095696,0.846209,0.232584,0.442452,0.184537,0.959385,0.126887,-0.157186,0.196863,0.975013,0.110217,0.0831,-0.174008,0.983248,0.045895,0.117286,0.131696,0.976896,0.012795,0.123284,-0.174054
84,0.994302,-0.018661,0.04401,-0.095232,0.846332,0.232691,0.44237,0.184034,0.959646,0.126692,-0.156384,0.196357,0.974971,0.10998,0.082767,-0.174553,0.983334,0.04598,0.117055,0.131228,0.976834,0.012893,0.12307,-0.174547
85,0.994367,-0.018586,0.043596,-0.094761,0.846432,0.232837,0.442325,0.183496,0.959912,0.126526,-0.155538,0.195835,0.974921,0.109747,0.082472,-0.175116,0.983419,0.046093,0.116847,0.130736,0.976763,0.012994,0.122897,-0.175052
86,0.99443,-0.018502,0.043224,-0.094281,0.846546,0.232985,0.44225,0.182961,0.960163,0.126406,-0.154739,0.195312,0.974875,0.1095,0.082134,-0.175683,0.98351,0.046196,0.116596,0.130236,0.976696,0.013118,0.122686,-0.17557
87,0.994488,-0.018436,0.042888,-0.093835,0.846663,0.23308,0.442169,0.182495,0.960406,0.126261,-0.153957,0.194829,0.974839,0.109254,0.081774,-0.176203,0.983596,0.046286,0.11635,0.129778,0.97664,0.013228,0.122433,-0.176045
88,0.994551,-0.018392,0.042549,-0.093335,0.846791,0.233213,0.442059,0.181998,0.960673,0.126016,-0.153174,0.194287,0.974791,0.109044,0.081427,-0.176762,0.983689,0.046354,0.116086,0.129284,0.976577,0.013312,0.122187,-0.17656
89,0.994607,-0.018338,0.042162,-0.092922,0.846883,0.233313,0.442008,0.181566,0.960925,0.125806,-0.152341,0.193831,0.974759,0.108769,0.081139,-0.177237,0.983766,0.046397,0.115869,0.128875,0.976523,0.013375,0.121976,-0.177
90,0.994665,-0.018295,0.041829,-0.092454,0.847002,0.233438,0.441896,0.181118,0.961175,0.125611,-0.15156,0.193331,0.974724,0.108481,0.080804,-0.177762,0.983852,0.046497,0.115609,0.128417,0.976462,0.013505,0.121712,-0.177509
91,0.994722,-0.018267,0.041505,-0.091996,0.84712,0.23356,0.441783,0.180689,0.96143,0.125363,-0.150769,0.19284,0.974684,0.108255,0.080469,-0.178268,0.983936,0.046609,0.11534,0.127972,0.976402,0.013647,0.12145,-0.178005
