timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.9691,0.056553,0.098938,-0.218746,0.720642,0.353235,0.421208,0.422452,-0.856941,0.405773,0.226962,-0.222423,0.920506,0.206288,-0.331165,0.020664,0.84569,0.088455,-0.29195,0.437873,0.871833,0.287149,-0.395617,0.030382
1,0.969211,0.056077,0.098572,-0.218542,0.720637,0.353498,0.420907,0.422542,-0.85742,0.40504,0.226361,-0.222522,0.920662,0.205863,-0.331063,0.019546,0.846327,0.088285,-0.291271,0.437127,0.872259,0.28655,-0.395132,0.030104
2,0.969329,0.055628,0.09823,-0.218288,0.720671,0.353786,0.420603,0.422546,-0.857908,0.404316,0.225759,-0.222573,0.920852,0.205438,-0.330861,0.018459,0.846969,0.088088,-0.290603,0.436368,0.872702,0.28586,-0.394676,0.029829
3,0.969451,0.055217,0.097869,-0.218012,0.720714,0.354102,0.420307,0.422502,-0.858404,0.403579,0.225147,-0.222617,0.92104,0.205139,-0.330579,0.017455,0.847631,0.08782,-0.289938,0.435579,0.873194,0.285056,-0.394189,0.02954
4,0.969582,0.054874,0.097606,-0.217632,0.720857,0.354415,0.419888,0.422412,-0.85892,0.402844,0.224581,-0.222529,0.921038,0.205059,-0.330684,0.016463,0.848339,0.087358,-0.289354,0.434679,0.873664,0.284215,-0.393783,0.029164
5,0.96973,0.05444,0.097325,-0.217207,0.720951,0.354798,0.41946,0.422356,-0.859518,0.401973,0.223969,-0.222414,0.921069,0.205097,-0.330622,0.015459,0.849047,0.087098,-0.288809,0.433712,0.874081,0.28355,-0.393379,0.028603
6,0.969879,0.054004,0.097004,-0.216795,0.721039,0.355149,0.419054,0.422312,-0.860089,0.401146,0.223338,-0.222333,0.921161,0.205023,-0.330456,0.014448,0.84972,0.086994,-0.288229,0.4328,0.874482,0.282938,-0.392968,0.028023
7,0.970028,0.053522,0.096681,-0.216394,0.721143,0.355525,0.418578,0.422291,-0.860633,0.400367,0.222712,-0.222258,0.921305,0.204876,-0.330189,0.013421,0.850362,0.086927,-0.287668,0.431924,0.874856,0.282357,-0.392593,0.027478
8,0.970162,0.053027,0.096373,-0.216051,0.721275,0.355799,0.418076,0.422334,-0.861129,0.399657,0.222119,-0.22221,0.921447,0.204719,-0.329929,0.012441,0.851014,0.086668,-0.287141,0.431042,0.875261,0.281656,-0.392223,0.027046
9,0.970279,0.052544,0.096115,-0.215758,0.721413,0.356056,0.41759,0.422361,-0.861584,0.398987,0.221569,-0.222199,0.921573,0.204572,-0.329702,0.011523,0.851674,0.086192,-0.286642,0.430165,0.875706,0.280759,-0.391895,0.026735
