timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.927432,-0.245168,0.248222,-0.134687,0.947532,0.021868,0.221785,0.229128,0.816057,0.195688,-0.53731,-0.083893,0.697203,0.331289,-0.625076,0.115838,0.641011,0.181666,-0.697778,0.263043,0.633331,0.363342,-0.660249,-0.175868
1,0.927309,-0.245259,0.248772,-0.134351,0.9475,0.021958,0.221785,0.229252,0.815779,0.195375,-0.537757,-0.084459,0.696814,0.3309,-0.625818,0.115282,0.640909,0.181013,-0.698053,0.26301,0.632822,0.362944,-0.660875,-0.176168
2,0.927215,-0.245258,0.249301,-0.134023,0.947472,0.022019,0.221775,0.22937,0.815524,0.194939,-0.53821,-0.085043,0.696469,0.330407,-0.626567,0.114716,0.640876,0.180315,-0.698269,0.262997,0.632362,0.362436,-0.66151,-0.176484
3,0.92712,-0.245248,0.249831,-0.133706,0.947463,0.022078,0.22169,0.229482,0.815262,0.194478,-0.538678,-0.085643,0.696119,0.329894,-0.62733,0.114143,0.640841,0.179616,-0.698482,0.262995,0.631913,0.361925,-0.662133,-0.1768
4,0.927016,-0.245247,0.250382,-0.133402,0.947475,0.022154,0.221539,0.229573,0.814996,0.194036,-0.539147,-0.086227,0.695755,0.329384,-0.628101,0.113593,0.640782,0.178907,-0.698714,0.263006,0.631461,0.361421,-0.662766,-0.177077
5,0.926898,-0.245267,0.250959,-0.133095,0.947492,0.022221,0.221406,0.229626,0.814717,0.193638,-0.53962,-0.086793,0.695378,0.328902,-0.628863,0.113078,0.640691,0.178191,-0.698972,0.263029,0.630995,0.36095,-0.663401,-0.177318
6,0.92676,-0.245325,0.251569,-0.132803,0.94752,0.022352,0.221261,0.229637,0.814436,0.193303,-0.540082,-0.087304,0.694984,0.328443,-0.629622,0.112612,0.640552,0.177453,-0.699272,0.263068,0.630517,0.360506,-0.664049,-0.177499
7,0.926593,-0.245426,0.252227,-0.132531,0.947564,0.022549,0.221092,0.229599,0.814153,0.193043,-0.54053,-0.087748,0.694539,0.328025,-0.630414,0.112147,0.640348,0.176659,-0.69963,0.263148,0.630022,0.360101,-0.66471,-0.177602
8,0.926404,-0.245578,0.252906,-0.132274,0.947615,0.022772,0.220921,0.22953,0.813859,0.19286,-0.540972,-0.088152,0.694089,0.327665,-0.63116,0.111785,0.640094,0.175896,-0.700026,0.263223,0.629493,0.359743,-0.665385,-0.177679
9,0.926226,-0.245732,0.253541,-0.132024,0.947674,0.022936,0.220775,0.229412,0.813569,0.19266,-0.541415,-0.088546,0.693628,0.327336,-0.6319,0.11143,0.639844,0.175195,-0.70041,0.263278,0.628961,0.359399,-0.666052,-0.177759
