gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Base",0,0,0.997307,0.035644,0.049749,-0.040312,0.994617,-0.037542,-0.040823,0.087424,0.996309,0.020002,-0.036241,0.075086,0.997785,0.040977,-0.011434,0.05097,0.998255,0.042374,-0.038079,0.014973,0.999786,0.014567,-0.005304,-0.013078
"Base",0,1,0.997286,0.035588,0.04976,-0.040871,0.994532,-0.03794,-0.041207,0.088048,0.996017,0.019907,-0.040356,0.076868,0.99775,0.041304,-0.010862,0.05151,0.998209,0.043096,-0.038238,0.015578,0.999782,0.015201,-0.005637,-0.012465
"Base",0,2,0.997259,0.035648,0.049794,-0.041419,0.994439,-0.038421,-0.041692,0.08865,0.995706,0.019701,-0.044489,0.078642,0.997713,0.041667,-0.010382,0.052036,0.998166,0.043699,-0.038415,0.016167,0.999779,0.01576,-0.005966,-0.011873
"Base",0,3,0.997232,0.035723,0.049722,-0.042082,0.994338,-0.038968,-0.042104,0.089347,0.995372,0.019489,-0.048506,0.080528,0.99767,0.042047,-0.009824,0.052658,0.998129,0.044258,-0.038456,0.016857,0.999777,0.016267,-0.006204,-0.011186
"Base",0,4,0.997204,0.035811,0.049625,-0.042791,0.994233,-0.039558,-0.042545,0.090047,0.995016,0.019271,-0.052491,0.082462,0.997626,0.04241,-0.009278,0.053297,0.998092,0.044757,-0.038507,0.017584,0.999776,0.016723,-0.00646,-0.010466
"Base",0,5,0.997176,0.035877,0.049461,-0.043562,0.99413,-0.040082,-0.042893,0.090781,0.994638,0.019085,-0.056405,0.084457,0.997581,0.042762,-0.008627,0.053963,0.998057,0.045266,-0.038458,0.018364,0.999775,0.017176,-0.006673,-0.009691
"Base",0,6,0.997147,0.03595,0.049247,-0.044399,0.994029,-0.040577,-0.04312,0.091562,0.994238,0.018902,-0.060263,0.086517,0.997529,0.043195,-0.007986,0.054677,0.998024,0.045732,-0.038364,0.019195,0.999774,0.017591,-0.006845,-0.008858
"Base",0,7,0.997118,0.035983,0.048999,-0.045303,0.993927,-0.041103,-0.043195,0.092388,0.993814,0.018771,-0.064082,0.088644,0.997466,0.043752,-0.007385,0.05545,0.997988,0.046172,-0.038313,0.020085,0.999773,0.018017,-0.007017,-0.007964
"Base",0,8,0.99708,0.036054,0.048814,-0.046265,0.993818,-0.041721,-0.043279,0.093252,0.993362,0.018609,-0.067956,0.090837,0.997397,0.044335,-0.006947,0.056286,0.997951,0.046547,-0.038322,0.021035,0.999771,0.018381,-0.007272,-0.007012
"Base",0,9,0.99704,0.036107,0.048591,-0.047302,0.9937,-0.042316,-0.043402,0.094171,0.992885,0.018477,-0.071786,0.093104,0.99732,0.044956,-0.00657,0.057199,0.997914,0.046903,-0.038267,0.02205,0.99977,0.018703,-0.007525,-0.005986
"Base",0,10,0.996997,0.036226,0.048369,-0.048328,0.99358,-0.042896,-0.043631,0.095064,0.99239,0.01829,-0.075613,0.095364,0.997245,0.045487,-0.006287,0.058108,0.997879,0.047124,-0.038318,0.023056,0.999769,0.018926,-0.007813,-0.004976
